"The Lord of the Rings (book)","When does Frodo use the Ring the first time?","In Bagend","*In Tom Bombadils House","In Bree","On the weathertop when attacked by the black riders"
"The Lord of the Rings (book)","Who accompanies Frodo and Sam to the house in Crickhollow?","Bilbo Baggins","*Peregrin Took","Meriadoc Brandybock","Fredegar Bolger"
"The Lord of the Rings (book)","Who saves Frodo on his way to Crickhollow by scaring off a black rider?","*A group of Elves singing a song to Elbereth","A group of Hobbits talking and laughing","A group of dwarves on their way to the blue mountains","Strider fighting them off with torches"
"The Lord of the Rings (book)","What does Frodo do with Bagend when he departs for Rivendell?","He asks the old Gaffer to watch over it","He gifts it to a poor Hobbit family he knows well","He burns it down, pretending his death","*He sells it to the Sackville Bagginses"
"The Lord of the Rings (book)","On which side should you pass a barrow to be safe, according to Tom Bombadil?","on the left-hand side","on the right-hand side","*on the western side","on the eastern side"
"The Lord of the Rings (book)","Aragorn is king by right of which of the following kingdoms?","Arthedain and Cardolan","*Arnor and Gondor","Orocarni and Gondor","Gondor and Imladris"
"The Lord of the Rings (book)","What happened with the elves in the fourth age?","They fell into the darkness","They became great warriors","*They sailed back to Valinor","They were deceived by Melkor and declared war on the men"
"The Lord of the Rings (book)","Dunland was located...","In the east of Isengard","In the south of Gondor","*In the north of Rohan","In the west of Eriador"
"The Lord of the Rings (book)","The most dangerous weapon of Sauman was...","His staff","*His voice","His force","His dagger"
"The Lord of the Rings (book)","What people inhabit Bree?","Only Hobbits are allowed as inhabitants","Only inhabited by humans","*Humans and hobbits mixed","It is a rangers outpost and therefore inhabited by the Dúnedain"
"The Lord of the Rings (book)","How is Aragorns validity proven when the hobbits meet him in Bree?","The landlord Barliman Butterbur knows Aragorn and reassures the hobbits","*A letter from Gandalf tells them about Aragorn and the broken sword","Gandalf tells Frodo he can trust him","Tom Bombadil tells them that Aragorn is waiting in the Prancing Pony for them"
"The Lord of the Rings (book)","How are the inhabitants of Buckland protected against the Old Forest and its dangers?","*They planted a high hedge","They dug a moat and diverted the Brandywine into it","They don't need protection","They built a stone wall which is protected by guards at night"
"The Lord of the Rings (book)","How long do the hobbits stay at Tom Bombadil's house?","They only stay over night and depart at the next morning","*They stay one day","They stay a whole week","They stay for three days"
"The Lord of the Rings (book)","Under which name does Frodo travel through the shire on his way to Imladris?","Took","*Underhill","Sackville-Baggins","Butterbur"
"The Lord of the Rings (book)","Who kills Fredegar Bolger?","A black rider, searching the house in Crickhollow and mistaking him for Frodo","An easterling, sent by the black riders","*He is not killed","He is killed by Sarumans bandits when he takes over the shire"
"The Lord of the Rings (book)","Why is the departure of the Hobbits from Bree delayed?","The black riders were still on the streets and they have to wait until the sun is high enough for them to retreat","Aragorn needed time to plan their tour through the wilderness","They gathered information about the black riders from inhabitants of bree","*The black riders stole their ponies, causing them to search for new ones"
"The Lord of the Rings (book)","How many hobbits are invited into the great feast tent at Bilbos 111 birthday party?","111","100","*144","150"
"The Lord of the Rings (book)","Why does Frodo wait until his birthday to depart from Bag End, even though Gandalf asked him to go earlier?","He was not yet ready to let go","*The message from Gandalf did not reached him in time","His friends did not want him to go earlier, holding him back","He had to think of a plan to slip out of the shire unnoticed"
"The Lord of the Rings (book)","What silly thing does Frodo in the Prancing Pony that makes the guests very anxious?","He accidently reveals that he is a Baggins and has been travelling under a false name","He tells them who the black riders really are","*He accidently slips on the ring","He asks Strider to tell a story"
"The Lord of the Rings (book)","How does king Theoden die?","He is slain by an orc chieftain","The nazgùl kills him","*He is crushed beneath his horse","The nazgùls beast devours him"
"The Lord of the Rings (book)","Where does Frodo get stabbed by a black rider?","*His left shoulder","His right shoulder","His heart","His leg"
"The Lord of the Rings (book)","What is the name of Tom Bombadils wife?","Waterlily","Morning Dew","*Goldberry","Silverflower"
"The Lord of the Rings (book)","How many meals does a hobbit eat per day, if given the opportunity?","6","4","*7","8"
"The Lord of the Rings (book)","What is the name of the inn where the Hobbits meet Aragorn?","*The Prancing Pony","The Green Dragon","The Ivy Bush","The Golden Perch"
"The Lord of the Rings (book)","During the Battle of Minas Tirith, the forces of Mordor use a battering ram. What was its name?","*Grond","Griphook","Angmar","Ripfang"
"The Lord of the Rings (book)","In which book does Boromir die?","The Fellowship of the Ring","*The Two Towers","The Return of the King","He does not die"
"The Lord of the Rings (book)","How many palantíri are there?","*Seven","Three","Five","Nine"
"The Lord of the Rings (book)","How does Eomer help Aragorn, Legolas and Gimli on their pursuit of Merry and Pippin?","He orders three of his riders to help and guard them until they reach Edoras","He lends them three horses","*He lends them two horses","He supplies them with food and water for their journey to Fangorn"
"The Lord of the Rings (book)","Why does Boromir come to Imladris in the first place?","He heard of the ring and came to aid the bearer and bring it to Gondor","*He seeked counsel of Elrond about a prophecy","Elrond asked the steward of Gondor to send aid, so he sent Boromir","He knew Aragorn and hurried to Imladris to aid him"
"The Lord of the Rings (book)","When is Aragorn's sword Anduril reforged in the books?","*In the Fellowship of the Ring, when they are in Rivendell","In the Two Towers, after Arwen decides to stay in Middle Earth","In the Return of the King, Elrond brings it to Aragorn before he walks on the path of the Dead","In the Two Towers, after the Battle of Helm's Deep"
"The Lord of the Rings (book)","What did Sauron do about Shelob hiding in Cirith Ungol?","He did not knew about her, because all the spies were eaten by her","He sent many Orcs to kill her, but all failed","*He knew about her and was pleased she guarded this entrance to Mordor","He lured her into the cave herself, to guard this entrance to Mordor"
"The Lord of the Rings (book)","What did Glorfindel leave at the Bridge over the river Mitheithel?","*A green jewel","A brooch in the shape of a green leaf","A marked stone","An elven dagger"
"The Lord of the Rings (book)","What are the names of the Orc Chieftains that lead the raiding party that captured Merry and Pippin?","*Ugluk & Grishnakh","Shagrat & Gorbag","Dumburz & Murag","Borug & Lurbuk"
"The Lord of the Rings (book)","Why is Frodo captured by Orcs at Cirith Ungol?","The orcs see him fighting Shelob and capture him when he drives her back","*They find him unconscious on the ground, after Sam leaves him in the belief that he is dead","Sam and Frodo hide on a small hill, but Frodo looses his grip and falls down, catching the attention of the Orcs","Frodo tries to sneak past them with the ring on, but Sauron almost finds him and he desperately takes the ring off, becoming visible to the orcs."
"The Lord of the Rings (book)","Who is called 'The Chief' during the Occupation of the Shire?","*Lotho Sackville-Baggins","Saruman","The chieftain of the raiders","Hamfast Gamgee"
"The Lord of the Rings (book)","Which region in Middle Earth do Hobbits originate from before migrating to the Shire?","*The upper vales of the Anduin","Dunland","Eriador","Harlindon"
"The Lord of the Rings (book)","Which one of these is NOT a famous Hobbit pipeweed variety?","*Southfarthing","Longbottom Leaf","Old Toby","Southern Star"
"The Lord of the Rings (book)","How many years do you have to add to the Shire-reckoning to get the corresponding year in the Third Age?","*1600","1452","1147","2485"
"The Lord of the Rings (book)","What do Hobbits call something that they have no immediate need for, but are unwilling to throw away?","*Mathom","Fallowhide","Lithe","Smial"
"The Lord of the Rings (book)","What does Galadriel gift Boromir?","An Elvish dagger","*A belt","An Elvish helmet","A shield"
"The Lord of the Rings (book)","What was the name of the Weathertop in Sindarin?","Amon Hen","*Amon Sul","Amon Din","Amon Amarth"
"The Lord of the Rings (book)","Gildor Inglorion, the Elf the Hobbits meet on the road to Rivendell, belongs to which elven house?","*House of Finrod","House of Feanor","House of Fingolfin","House of Thingol"
"The Lord of the Rings (book)","Who states: *'Short cuts make delays, but inns make longer ones.'*?","*Frodo","Pippin","Merry","Sam"
"The Lord of the Rings (book)","What does Sam forget to take with him on the journey and regrets it?","A knife","*A rope","A tinderbox","A backpack"
"The Lord of the Rings (book)","Gothmog was the proconsul of...","*Minas Morgul","The Grey Tower","The White Tower","The Dark Tower"
"The Lord of the Rings (book)","Where did Bilbo find his dagger Sting?","The Lonely Mountain","*A troll hoard","In Rivendell","He bought it"
"The Lord of the Rings (book)","What does Gandalfs Dwarfish name 'Tharkun' mean?","*Man with a staff","Mighty Wizard","Stormcrow","The White Rider"
"The Lord of the Rings (book)","What is the meeting of the Ents called?","*Entmoot","Treebeard's Council","Entting","The Gathering"
"The Lord of the Rings (book)","What is the common language of the peoples of Middle Earth?","Westernesse","*Westron","Elvish","Dwarfish"
"The Lord of the Rings (book)","Who was the father of Theoden?","*Thengel","Theodred","Eorl the Young","Helm Hammerhand"
"The Lord of the Rings (book)","Who kills the Witch-king?","*Eowyn","Theoden","Merry","Aragorn"
"The Lord of the Rings (book)","How did Frodo and Sam hide themselves in Mordor?","They crawled the whole way","They did not need to hide, because Sauron's eye was drawn elsewhere","*They wore Orc armour","They walked underground through the tunnels of the Orcs to Mount Doom"
"The Lord of the Rings (book)","Elendil the...?","Great","*Tall","Strong","Mighty"
"The Lord of the Rings (book)","Who are Elborons parents?","*Faramir and Eowyn","Theoden and Elfhild","Arwen and Aragorn","Thingol and Melian"
"The Lord of the Rings (book)","What items did Sam take from Frodo when they got separated in Mordor?","*Sting, the Phial of Galadriel and the Ring","Sting and the Ring","The Phial of Galadriel, Frodo's Backpack and the Ring","Sting and the Phial of Galadriel"
"The Lord of the Rings (book)","In which former kingdom of Arnor are the Barrow-Downs located?","*Cardolan","Arthedain","Rhudaur","Enedwaith"
"The Lord of the Rings (book)","How is Arwen is related to Galadriel?","*Arwen is Galadriel's granddaughter","Arwen is not related to Galadriel","Arwen is Galadriel's grandniece","Arwen is Galadriel's sister"
"The Lord of the Rings (book)","How long passes between Bilbo's Birthday Party and Frodo leaving the shire?","*17 years","34 years","9 years","25 years"
"The Lord of the Rings (book)","How old is Frodo when he leaves the Shire?","*50 years old","33 years old","75 years old","60 years old"
"The Lord of the Rings (book)","Which members of the Fellowship are the sons of kings?","*Aragorn and Legolas","Aragorn and Boromir","Gimli and Legolas","Boromir and Gimli"
"The Lord of the Rings (book)","Whose grave does the Fellowship find in Moria, which disturbs Gimli terribly?","*Balin","Gloin (his father)","Thorin","Dain"
"The Lord of the Rings (book)","What type of blade is Frodo stabbed with during the fight on Weathertop?","*Morgul-blade","Shadow-blade","Mordor-blade","Ghost-blade"
"The Lord of the Rings (book)","What name was Aragorn travelling under?","*Strider","Wilderer","Longshanks","The Crownless"
"The Lord of the Rings (book)","What is Boromir's brother named?","*Faramir","Dagomir","Denethor","Eomer"
"The Lord of the Rings (book)","What river was the ring of power lost in, at the death of Isildur?","*Anduin","Isen","Bruinen","Celduin (River Running)"
"The Lord of the Rings (book)","What is the name of Saruman's Tower?","*Orthanc","Isengard","Barad-dur","Minas Ithil"
"The Lord of the Rings (book)","What is the great port city of Gondor?","*Pelargir","Dol Amroth","Osgiliath","Minas Ithil"
"The Lord of the Rings (book)","Who was the nephew of King Theoden of Rohan?","*Eomer","Wormtongue","Eothain","Theodred"
"The Lord of the Rings (book)","The southern valley of The Misty Mountains, Nan Curunir, is home to what landmark?","*Isengard","Caradhras","The Stone of Erech","The Mines of Moria"
"The Lord of the Rings (book)","How many wizards were there in Middle Earth?","*5","9","3","12"
"The Lord of the Rings (book)","Who is the barman at the Prancing Pony Inn, in Bree?","*Barliman Butterbur","Fredegar Bolger","Tom Bombadil","Bill Ferny"
"The Lord of the Rings (book)","How is Frodo related to Bilbo?","*They're first cousins","Bilbo is his father","They are not related","Bilbo is his uncle"
"The Lord of the Rings (book)","What is Wormtongue's given name?","*Grima","Lathspell","Eothain","Lurtz"
"The Lord of the Rings (book)","What is Durin's Bane?","*The Balrog of Moria","A mighty hammer","A mental illness that runs in Thorin's family","Azog the Defiler"
"The Lord of the Rings (book)","How many rings of power were made \"for the Elven-kings under the sky\"?","*Three","Seven","Nine","One"
"The Lord of the Rings (book)","How many rings of power did \"the Dwarf-lords in their halls of stone\" receive?","*Seven","Three","Nine","One"
"The Lord of the Rings (book)","How many rings of power were given to \"Mortal Men doomed to die\"?","*Nine","Three","Seven","One"
"The Lord of the Rings (book)","Who forged the Rings of Power?","*Elven-Smiths, led by Celebrimbor","Morgoth","Sauron","The Istari, led by Saruman(Curunir)"
"The Lord of the Rings (book)","Where does Galadriel linger during LotR?","*Caras Galadhon","Minas Ithil","Ilmarin","Rivendell"
"The Lord of the Rings (book)","Who is the husband of Galadriel?","*Celeborn","Gandalf","Celebrimbor","Elrohir"
"The Lord of the Rings (book)","What Valar is known as the Lord of the Waters?","*Ulmo","Orome","Tulkas","Mandos"
"The Lord of the Rings (book)","What elf led the Fellowship to Caras Galadhon, from the edge of Lothlorien?","*Haldir","Legolas","Galadriel","Celeborn"
"The Lord of the Rings (book)","What was the name given to the period of extreme cold in SA 2911-2912, when the Brandywine River froze, and Orcs and Wargs crossed the ice to attack Hobbits in The Shire?","*The Fell Winter","The Ice Year","The Frozen Winter","The Brandywine Winter"
"The Lord of the Rings (book)","What place do the men of Gondor call The Hidden Land?","*Lorien", "Mordor", "Mirkwood", "Ithilien"
"The Lord of the Rings (book)","Greenwood the Great was the name for what forest, before the middle of the Third Age?","*Mirkwood", "The Old Forest", "Fangorn", "Lothlórien"
"The Lord of the Rings (book)","Where did the Silvan Elves, ruled by Oropher and Thranduil, live?","*Mirkwood", "Ossiriand", "The Grey Havens", "Lothlórien"
"The Lord of the Rings (book)","What is the name of the tavern owned by Ponto Hopsbloom, in Frogmorton, in The Shire?","*The Floating Log", "The Green Dragon", "The Golden Perch", "The Ivy Bush"
"The Lord of the Rings (book)","What lies south of the East Road, East of the White Downs, and North of the Southfarthing?","*Tookland", "Buckland", "The Marish", "Bridgefields"
"The Lord of the Rings (book)","This ten-mile stretch of The Shire lay just to the west of the Brandywine River north of the East Road.","*Bridgefields", "Tookland", "The Woody End", "Buckland"
"The Lord of the Rings (book)","The Bolger family of hobbits hail from what settlement near the Brandywine Bridge?","*Budgeford", "Bywater", "Frogmorton", "Whitfurrows"
"The Lord of the Rings (book)","What was the Brandywine Bridge known as when Hobbits first arrived in The Shire?","*The Bridge of Stonebows", "The Baranduin Bridge", "The Buckland Bridge", "The Old Stone Bridge"
"The Lord of the Rings (book)","Which of these mountains is NOT a part of the Mountains of Moria","*Gundabad", "Celebdil", "Caradhras", "Fanuidhol"
"The Lord of the Rings (book)","Inside which mountain did the Dwarves build the Endless Stair?","*Celebdil", "Methedras", "Caradhras", "Fanuidhol"
"The Lord of the Rings (movies)","How many arrows hit Boromir at Parth Galen?","*3","He is not hit","2","5"
"The Lord of the Rings (movies)","Who speaks at the beginning of The Fellowship of the Ring (movie), narrating the tale of the One Ring?","*Galadriel","Elrond","Gandalf","Sauron"
"The Lord of the Rings (movies)","Who was the director of the movies?","*Peter Jackson","Steven Spielberg","James Cameron","George Lucas"
"The Lord of the Rings (movies)","What famous injury did Viggo Mortensen suffer in the making of The two Towers?","He broke his right arm","He suffered a severe brain concussion","*He broke his toe","He stepped on a long, sharp glass shard"
"The Lord of the Rings (movies)","Who kills Saruman in the movies?","Theoden","Legolas","*Grima","Treebeard"
"The Lord of the Rings (movies)","In which scene did Sean Astin (Sam's actor) impale his foot on a glass shard?","The flight to Brandybuck ferry","*The scene at Parth Galen (The Rauros-falls)","At the Morannon (The black gate), when he tumbles down the hill","Running through Farmer Maggot's fields"
"The Lord of the Rings (movies)","In which LotR movie did Howard Shore, the composer of the soundtracks, have a cameo?","The Fellowship of the Ring","The Two Towers","*The Return of the King","None of them"
"The Lord of the Rings (movies)","Which one of these scenes was not an accident while filming the movies?","Ian McKellen (Gandalf) running into a wooden beam in Bag End","Viggo Mortensen (Aragorn) deflecting a knife thrown by an Uruk at Parth Galen","Viggo Mortensen (Aragorn) kicking the helmet of a dead Uruk at Fangorn Forest","*The cloak of the Nazgul catching fire on Weathertop"
"The Lord of the Rings (movies)","In the movie 'The Return of the King', what does Gimli say after Legolas kills the Mumakil?","*That still only counts as one.","That was mine!","Of course you took the little one!","No fair!"
"The Lord of the Rings (movies)","In the movie 'The Return of the King', Peter Jackson has another cameo. Who does he play?","*The pirate that gets shot by Legolas","*The chief of the Guards of the Citadel","An orc in Cirith Ungol who is stabbed by Sam","A Gondorean Warrior at the Battle of the Black Gate"
"The Lord of the Rings (movies)","The screech of the Nazgul in the Peter Jackson LOTR films was made by combining sounds from a pig, a horse, and who/what?","*Fran Jackson, the director's wife. She had a sore throat at the time.","A musical saw","A siren","Screeching Tires"
"The Lord of the Rings (movies)","The voice of Treebeard was done by the actor playing what other role in the LotR / Hobbit films?","*Gimli","Smaug","Radagast","Beorn"
"The Lord of the Rings (movies)","What actor portrayed Bilbo Baggins in the LOTR Trilogy, and aged Bilbo in The Hobbit Trilogy?","*Sir Ian Holm","Sir Ian McKellen","Morgan Freeman","Dominic Monaghan"
"The Lord of the Rings (movies)","Which of these characters was **not** played by Sala Baker?","Sauron","The Witch-King of Angmar","Lugdush the Uruk","*Gothmog, Lieutnant of Morgul"
"The Lord of the Rings (movies)","In the Peter Jackson Hobbit trilogy, what were almost all of the wigs and beards of the dwarves made of?","*Yak hair", "Human hair", "Ram hair", "Bison hair"
"The Hobbit (book)","Where do Thorin and company leave the contract for Bilbo to sign?","On the doorstep","*On the mantelpiece","They took it with them","They gave it to Gandalf so he could give it to Bilbo."
"The Hobbit (book)","Where do Thorin and company leave the contract for Bilbo to sign?","On the doorstep","*On the mantelpiece","They took it with them","They gave it to Gandalf so he could give it to Bilbo."
"The Hobbit (book)","What is Bilbos first big adventure on his journey to the Lonely Mountain?","Black Riders","Goblins","*Trolls","Wargs"
"The Hobbit (book)","How does Thorin Oakenshield get hold of the map of the Lonely Mountain?","His father gave it to him","He took it with him when Smaug attacked the Lonely Mountain","*Gandalf found it","He drew it himself"
"The Hobbit (book)","Which member of Thorin's company has to wait the longest before entering Beorn's Garden?","Thorin","Bilbo","Balin","*Bombur"
"The Hobbit (book)","Who is the necromancer in Dol Guldur?","*Sauron","Saruman","Melkor","Mithrandir"
"The Hobbit (book)","What does Gwaihir translate to?","*Wind-lord","King of the Eagles","Eagle-lord","Manwe's emissiary"
"The Hobbit (movies)","Who voice-acted Smaug?","Keanu Reeves","Chris Evans","*Benedict Cumberbatch","Clint Eastwood"
"The Hobbit (movies)","During the filming of The Hobbit trilogy, the crew used up all of what in New Zealand, requiring additional shipments from Germany?","*Gold paint", "Iron", "Costumes", "Wigs"
"The Hobbit (movies)","In The Hobbit film trilogy, what dwarf has an axe-head stuck in his forehead?","*Bifur", "Bofur", "Bombur", "Fili"
"The Hobbit (movies)","Only one of the dwarves' beards in The Hobbit film trilogy was NOT made of Yak hair. Whose?","*Thorin", "Kili", "Fili", "Bifur"
"The Hobbit (movies)","Only one of the dwarves' wigs in The Hobbit film trilogy was made of human hair. Whose?","*Thorin", "Bifur", "Bofur", "Ori"
"Life of Tolkien","Tolkien was a professor at which university?","*Oxford","Cambridge","London","Edinburgh"
"Life of Tolkien","When was the Fellowship of the Rings (book) released?","*1955","1948","1972","1961"
"Life of Tolkien","What did Tolkien intend to release with the LotR?","Hobbit","*Silmarillion","Valaquenta (beginning of the Silmarillion)","Records of the Forth Age of Middle Earth"
"Life of Tolkien","What is the name of the renowned British artist that illustrated several books of Tolkien?","*Alan Lee","Peter Jackson","Jean Clark","Ian Hunter"
"Life of Tolkien","In which country was J.R.R. Tolkien born?","United States of America","United Kingdom","*South Africa","Belgium"
"Life of Tolkien","What do the R.R. in Tolkien's name stand for?","*Ronald Reuel","Ronald Richard","Robin Russel","Ronald Reese"
"Life of Tolkien","Which event in Tolkien's childhood is said to have inspired his future work?","*He was bitten by a spider (==> Shelob)","He found the ruins of a city (==> Osgiliath)","An incident at a tavern in his hometown (==> Prancing Pony)","A colonial war (==> War of the Ring)"
"Life of Tolkien","Tolkien's journey to which land heavily inspired his idea of the Misty Mountains?","*Switzerland","Germany","Italy","Austria"
"Life of Tolkien","What was Tolkien originally assigned to during the Second World War?","*He was supposed to serve as a codebreaker","He was supposed to serve as a infantry soldier","He was supposed to serve in counterintelligence","He was not drafted because of his position as an university professor"
"Life of Tolkien","Which day of the Year was announced as 'Tolkien Reading Day' in 2003?","*March the 25th","May the 4th","September the 28th","December the 18th"
"Life of Tolkien","Which of the follwing languages did Tolkien not learn?","Medieval Welsh","Old Norse","Lombardic","*He learned all of them"
"Life of Tolkien","Which book did Tolkien want to give a different title to because it's name \"Gave away the end?\"","*The Return of the King","The Fellowship of the Ring","The Hobbit, or, There and Back again.","The Two Towers"
"Life of Tolkien","What name in Tolkien's writings came from the name of an aunt's farm?","*Bag End", "The Prancing Pony", "Bamfurlong", "Bywater"
"Life of Tolkien","To mirror the name he had carved on his wife's tombstone, what name was carved on the tombstone of J.R.R. Tolkien?","*Beren", "Aragorn", "Faramir", "Manwe"
"History of Middle-Earth (book)","What was Frodo's name in the first draft of the Lord of the Rings","*Bingo","Frodo","Fredegar","Odo"
"History of Middle-Earth (book)","In an early Lord of the Rings draft that was scrapped shortly after its creation, the rider sniffing for the hobbits was not a Nazgul, but someone else. Who was it?","*Gandalf","Aragorn","Saruman","Gildor"
"History of Middle-Earth (book)","Before Tolkien came up with the concept of the 'One Ring' what kind of ring did Bilbo find?","*an Elven Ring","a lesser Ring","a Dwarven Ring","a Ring of Man"
"General Knowledge","What did Feanor do wrong?","*He did nothing wrong","He was responsible for the slaughter of the Teleri","He took a disastrous oath","He tried to recover the Silmarils at any cost"
"HoME","Which city on the River Gwathlo was destroyed by a great flood in SA 2912, following the Fell Winter?","*Tharbad", "Annuminas", "Lond Daer", "Fornost"
