"Extended Lore","12","Gandalf, Radagast, and Saruman. What are the names of the remaining two Blue Wizards of Middle Earth?","Morinehtar and Romestamo","Curumir and Mithrandir","Alatar and Sangahyando","Gaerdring and Tulkas"
"Extended Lore","12","What was the ancient name of Caras Galadhon?","Nelennas","Hithaeglir","Laurelindórenan","Celebrant"
"Extended Lore","12","Which Durin ruled over Moria when the Balrog was unearthed?","Durin VII","Durin the V","Durin the III","Durin the IX"
"Extended Lore","12","The second in command of the Nazgul was, in life, called what?","Khamul, the Easterling","Ciryaher, the Ship-King","Ar-Pharazôn the Golden","Radhruin"
"Extended Lore","12","Who is the grandfather from Thorin  II Oakenshield?","Thrór","Thráin II","Dain I","Durin IV"
"Extended Lore","12","Who is **not** related to Thorin Oakenshield?","Dori","Gimli","Fili","Dwalin"
"Extended Lore","12","Trahald is the name of...?","Gollum","Legolas","Gandalf","Béren"
"Extended Lore","12","Who sent Gandalf back to Middle-earth after darkness took him?","Eru","Ainur","Manwë","Mandos"
"Extended Lore","12","From whom did Elrond receive his ring of power?","Gil-Galad","Galadriel","Celebrimbor","Aule"
"General Knowledge","12","What did Fëanor do wrong?","He did nothing wrong","He was responsible for the slaughter of the Teleri","He took a disastrous oath","He tried to recover the Silmarils at any cost"
"History of Middle-Earth (book)","12","What was Frodo's name in the first draft of the Lord of the Rings?","Bingo","Frodo","Fredegar","Odo"
"History of Middle-Earth (book)","12","In an early Lord of the Rings draft that was scrapped shortly after its creation, the rider sniffing for the hobbits was not a Nazgul, but someone else. Who was it?","Gandalf","Aragorn","Saruman","Gildor"
"History of Middle-Earth (book)","12","Before Tolkien came up with the concept of the 'One Ring' what kind of ring did Bilbo find?","an Elven Ring","a lesser Ring","a Dwarven Ring","a Ring of Man"
"History of Middle-Earth (book)","12","What was Merry's name in the first draft of the Lord of the Rings?","Marmaduke","Meriadoc","Inigo","Mungo"
"History of Middle-Earth (book)","12","Which city on the River Gwathlo was destroyed by a great flood in SA 2912, following the Fell Winter?","Tharbad","Annuminas","Lond Daer","Fornost"
"History of Middle-Earth (book)","12","What was the first name Tolkien had given Gandalf's horse 'Shadowfax?'","Narothal","Arod","Snowfax","Firefoot"
"History of Middle-Earth (book)","12","Translated to modern English the name of Aragorn's horse 'Hasufel' means...?","Grey-coat","Windmane","Whitelock","Swift"
"History of Middle-Earth (book)","12","Translated to modern English the name of Legolas' horse 'Arod' means...?","Swift","Grey-coat","Windmane","Whitelock"
"Life of Tolkien","7","Which book did Tolkien want to give a different title to because it's name 'Gave away the end?'","The Return of the King","The Fellowship of the Ring","The Hobbit, or, There and Back again.","The Two Towers"
"Life of Tolkien","9","Tolkien was a professor at which university?","Oxford","Cambridge","London","Edinburgh"
"Life of Tolkien","9","When was the Fellowship of the Rings (book) released?","1955","1948","1972","1961"
"Life of Tolkien","9","What did Tolkien intend to release with the LotR?","Silmarillion","Hobbit","Valaquenta (the beginning of the 'Silmarillion')","Records of the Forth Age of Middle Earth"
"Life of Tolkien","9","What is the name of the renowned British artist that illustrated several of Tolkien's books?","Alan Lee","Peter Jackson","Jean Clark","Ian Hunter"
"Life of Tolkien","9","What do the R's in Tolkien's full name stand for?","Ronald Reuel","Ronald Richard","Robin Russel","Ronald Reese"
"Life of Tolkien","9","What was Tolkien originally assigned to during the Second World War?","He was supposed to serve as a codebreaker","He was supposed to serve as a infantry soldier","He was supposed to serve in counterintelligence","He was not drafted because of his position as an university professor"
"Life of Tolkien","9","Which day of the Year was announced as 'Tolkien Reading Day' in 2003?","March the 25th","May the 4th","September the 28th","December the 18th"
"Life of Tolkien","9","Which of the following languages did Tolkien **not** learn?","He learned all of them","Medieval Welsh","Old Norse","Lombardic"
"Life of Tolkien","9","To mirror the name he had carved on his wife's tombstone, what name was carved on the tombstone of J.R.R. Tolkien?","Beren","Aragorn","Faramir","Manwë"
"Life of Tolkien","9","Which member of cast of the LotR movie adaptations had met Tolkien in person?","Sir Christopher Lee","Sir Ian McKellen","Sir Ian Holm","Viggo Mortensen"
"Life of Tolkien","10","Tolkien's journey to which land heavily inspired his idea of the Misty Mountains?","Switzerland","Germany","Italy","Austria"
"Life of Tolkien","11","In which country was J.R.R. Tolkien born?","South Africa","United States of America","United Kingdom","Belgium"
"Life of Tolkien","11","Which event in Tolkien's childhood is said to have inspired his future work?","He was bitten by a spider (==> Shelob)","He found the ruins of a city (==> Osgiliath)","An incident at a tavern in his hometown (==> Prancing Pony)","A colonial war (==> War of the Ring)"
"Life of Tolkien","11","What name in Tolkien's writings came from the name of an aunt's farm?","Bag End","The Prancing Pony","Bamfurlong","Bywater"
"The Hobbit (P. J. movie adaptations)","8","Who voice-acted Smaug?","Benedict Cumberbatch","Keanu Reeves","Chris Evans","Clint Eastwood"
"The Hobbit (P. J. movie adaptations)","9","In the Hobbit movie adaption, what dwarf has an axe-head stuck in his forehead?","Bifur","Bofur","Bombur","Fili"
"The Hobbit (P. J. movie adaptations)","10","During the filming of the Hobbit movie adaption, the crew used up all of what in New Zealand, requiring additional shipments from Germany?","Gold paint","Iron","Costumes","Wigs"
"The Hobbit (P. J. movie adaptations)","10","Only one of the dwarves' wigs in the Hobbit movie adaption was made of human hair. Whose?","Thorin's","Bifur's","Bofur's","Ori's"
"The Hobbit (book)","1","Who does Bilbo accompany to the lonely mountain?","13 Dwarves and 1 wizard","30 Orcs","2 Wizards","4 Elves"
"The Hobbit (book)","3","What is Bilbo's first big adventure on his journey to the Lonely Mountain?","Trolls","Black Riders","Goblins","Wargs"
"The Hobbit (book)","4","What is the name of the dragon who took the Lonely Mountain?","Smaug","Grond","Smeag","Smogold"
"The Hobbit (book)","4","Who accompanies Bilbo and the dwarfs sometimes?","Gandalf","Gothmog","Luthien","Aule"
"The Hobbit (book)","4","What is very important for dragons?","Their treasure","Killing","Adventures","That they become a legend"
"The Hobbit (book)","4","Where did Bilbo find his dagger Sting?","A troll hoard","The Lonely Mountain","In Rivendell","He bought it"
"The Hobbit (book)","4","Who told Bard the Bowman of Smaug's weakness?","A thrush","An eagle","Gandalf","Bilbo"
"The Hobbit (book)","4","How does Thorin Oakenshield get hold of the map of the Lonely Mountain?","Gandalf found it","His father gave it to him","He took it with him when Smaug attacked the Lonely Mountain","He drew it himself"
"The Hobbit (book)","4","Who wielded the sword Orcrist?","Thorin Oakenshield","Gandalf","Bilbo","Beorn"
"The Hobbit (book)","4","The Lonely Mountain is also known as what?","Erebor","Mount Doom","Caradhras","Minas Tirith"
"The Hobbit (book)","4","Who fired the arrow that killed Smaug, in 'The Hobbit?'","Bard the Bowman","Thorin Oakenshield","Bilbo Baggins","Beorn"
"The Hobbit (book)","5","What is another name for the lonely mountain?","Erebor","Eredluín","Eduín","Edoras"
"The Hobbit (book)","5","Who was in Dol Guldur?","The necromancer","Spiders","Trolls","Wargs"
"The Hobbit (book)","5","What was the question with which Bilbo won against Gollum?","What is in my pocket?","Where is the ring?","Who am I?","Where am I about to go?"
"The Hobbit (book)","5","What was happening when Bilbo returned home?","The auctioning of his belongings","The official opening of the Sackville-Baggins","His funeral","A welcome home party"
"The Hobbit (book)","5","What helped to open the secret door to the Erebor?","Moonlight","A bear","Bilbos ring","Balin's experience"
"The Hobbit (book)","5","Where did the Silvan Elves, ruled by Oropher and Thranduil, live?","Mirkwood","Ossiriand","The Grey Havens","Lothlórien"
"The Hobbit (book)","5","Where do Thorin and company leave the contract for Bilbo to sign?","On the mantelpiece","On the doorstep","They took it with them","They gave it to Gandalf so he could give it to Bilbo."
"The Hobbit (book)","5","Who is the necromancer in Dol Guldur?","Sauron","Saruman","Melkor","Mithrandir"
"The Hobbit (book)","5","What does 'Gwaihir' translate to?","Wind-lord","King of the Eagles","Eagle-lord","Manwë's emissiary"
"The Hobbit (book)","6","With whom and where does Bilbo riddle?","With Gollum in the misty mountains","With Gollum in Thal","With an orc in the misty mountains","With an orc in Thal"
"The Hobbit (book)","6","Who kills Smaug?","Bard","Beorn","Bilbo","Barn"
"The Hobbit (book)","6","How do the trolls who want to eat Bilbo die?","They become stone","They get beheaded","They get slain","Gandalfs lightning hits them"
"The Hobbit (book)","6","What is the name of Gandalfs sword?","Glamdring","Orcrist","Anduril","Sangdúm"
"The Hobbit (book)","6","Where did Bilbo find his dagger Sting?","A troll hoard","The lonely mountain","In Rivendell","He bought it"
"The Hobbit (book)","6","Who died defending Thorin?","Kili and Fili","Ori and Nori","Oin and Gloin","Balin and Dwalin"
"The Hobbit (book)","6","What is the biggest treasure the dwarfs found in the lonely mountain?","The Arkenstone","The Mithril","The diamonds","The Pluníl"
"The Hobbit (book)","6","What is special about female dwarves?","The have beards","There were none","They were taller than their men","They always fought with their husbands"
"The Hobbit (book)","6","What color are the two wizards which were in the east?","Blue","Grey","Black","White"
"The Hobbit (book)","6","Who saves Bilbo and the dwarves from the wolves as they were sitting in the trees?","The eagles","Gandalf","Beorn","The elves"
"The Hobbit (book)","6","What is the battle at the Erebor called?","The Battle of Five Armies","The last battle of the dwarfs","The Battle of Four Armies","The battle of dwarves and orcs"
"The Hobbit (book)","6","Who was the only one Bilbo told about his ring at first?","Gandalf","Thorin","Balin","Kili"
"The Hobbit (book)","6","Why doesn't Biblo kill Gollum?","He has pity","He is afraid","He is in a hurry","He has honour"
"The Hobbit (book)","6","Where does Gollum live?","At an underground lake","In an alley in the orc town","In a dry cave","On an old boat"
"The Hobbit (book)","6","How does Bilbo free the dwarfs from the elves?","In barrels","In bags","Through a tunnel","Everybody gets the ring"
"The Hobbit (book)","6","Who is the necromancer in Dol Guldur?","Sauron","The witch king","Saruman","Gothmog"
"The Hobbit (book)","6","What does Bilbo steal to bring the dwarfs back to sanity?","The Arkenstone","The mithril shirt","Their weapons","Their food"
"The Hobbit (book)","6","What is the Arkenstone?","The heart of the mountain","A dragon heart","A huge ruby","Mithril"
"The Hobbit (book)","6","Who cooks for the dwarves and Bilbo?","Bombur","Bofur","Balin","Dwalin"
"The Hobbit (book)","6","What does Bilbo forget at the beginning of his journey?","His handkerchief","His stick","His cape","His food"
"The Hobbit (book)","6","Where did Gandalf leave the dwarves?","In front of Mirkwood","After Rivendell","At the long lake","After the Misty Mountains"
"The Hobbit (book)","6","Who does not fight in the battle of the five armies?","Ents","Eagles","Orcs","Elves"
"The Hobbit (book)","6","What is the name of Bilbo's father?","Bungo Baggins","Bingo Baggins","Balo Baggins","Blibono Baggins"
"The Hobbit (book)","6","Who are the nephews of Thorin Oakenshield?","Killi and Filli","Thrain","He has none","Oin and Gloin"
"The Hobbit (book)","6","Who were the father and grandfather of Thorin Oakenshield?","Thráin and Thrór","Dain and Dor","Balin and Dwalin","Durin and Drur"
"The Hobbit (book)","6","What did Thrain give to Gandalf for his son?","A map and a key","A sword","The arkenstone","A mithril shirt"
"The Hobbit (book)","6","Who is Balin's brother?","Dwalin","Thorin","Bombur","Bofur"
"The Hobbit (book)","6","Which member of Thorin's company has to wait the longest before entering Beorn's Garden?","Bombur","Thorin","Bilbo","Balin"
"The Hobbit (book)","6","Who ruled Erebor after the death of Thorin Oakenshield?","Dain II Ironfoot","Bard","Balin","Thranduil"
"The Hobbit (book)","7","What happens with Bombur as he falls into the enchanted river?","He sleeps","He has pain","He hallucinates","He gets hungry"
"The Hobbit (book)","7","What did Beorn lend the dwarves?","Ponies","Horses","Weapons","Clothes"
"The Hobbit (book)","7","From whom must Bilbo free the dwarves in Mirkwood?","Tawarwaith","Trolls","Orcs","Smaug"
"The Hobbit (book)","7","Who does Bilbo not meet in the Misty Mountains?","Spiders","Gollum","Giants","Orcs"
"The Hobbit (book)","7","What is the name of Bilbo's mother?","Belladonna Took","Belladonna Luck","Belladonna Brandybock","Bella Bags"
"The Hobbit (book)","7","Which enemy does Bilbo meet first?","Three trolls","Orcs","Warg riders","Gollum"
"The Hobbit (book)","7","Who is not a troll that wants to eat Bilbo?","Bernd","Bert","Tom","William"
"The Hobbit (book)","7","What creature can Beorn change into?","A bear","A wolf","A spider","A lynx"
"The Hobbit (book)","7","What the name of Thorin's sword?","Orcrist","Glamdring","Sting","Andruíl"
"The Hobbit (book)","7","What city is at the foot of Erebor?","Dale","Dwarfing","Khazad-dûm","Thaling"
"The Hobbit (book)","7","To which animals can Bard talk?","Thrushes","Ravens","Bears","All birds"
"The Hobbit (book)","7","What was the common name for Bard?","The bowman","The fighter","The hero","The liberator"
"The Hobbit (book)","7","Who founded Dale?","Bard","Balin","Thorin","Daín"
"The Hobbit (book)","7","Who is Azog's son?","Bolg","Arzorg","Arothom","Brogg"
"The Hobbit (book)","7","Who kills Bolg?","Beorn","Gandalf","Thorin","Gwaihir"
"The Hobbit (book)","7","Why can't Bilbo recall the battle of the five armies?","He was unconscious","He was hiding","He had to care for the wounded","He was in the Erebor"
"The Hobbit (book)","7","Who killed Thror?","Azog","An unnamed orc","Suicide","Bolg"
"The Hobbit (book)","7","What are the last two words in The Hobbit?","...tobacco jar.","...One Ring.","...ever after.","...the Shire."
"The Hobbit (book)","8","What did Bilbo bring back the first time he went to the Erebor?","A goblet","The Arkenstone","The mithril shirt","A huge ruby"
"The Hobbit (book)","8","Which option for cooking the dwarves did the trolls not think of?","Smoked","Squashed","Cooked","Grilled"
"The Hobbit (book)","8","What kind of trolls are the 3 trolls?","Stone trolls","Mountain trolls","Cave trolls","Snow trolls"
"The Hobbit (book)","8","Smaug the?","Golden","Evil","Fiery","Unholy"
"The Hobbit (book)","8","After being run from their home by Smaug, where did Thorin Oakenshield and his companions reside?","The Blue Mountains","The Shire","Gondor","Moria"
"The Hobbit (book)","8","What does Gandalf call Beorn, which initially confuses Bilbo?","Skin-changer","Tanner","Sauron","A bear"
"The Hobbit (book)","9","Which of these noble blades of the First Age was **not** found in a troll cache in The Hobbit?","Angrist","Sting","Glamdring","Orcrist"
"The Lord of the Rings (P. J. movie adaptations)","2","Who was the director of the movies?","Peter Jackson","Steven Spielberg","James Cameron","George Lucas"
"The Lord of the Rings (P. J. movie adaptations)","3","What happens to Gimli's axe as he tries to destroy the ring (Movies)?","It breaks","It glows","It vanishes","Nothing"
"The Lord of the Rings (P. J. movie adaptations)","3","Who accompanied Aragorn, Gimli and Legolas in the battle of Minas Thirith (Movies)?","The army of the dead","The Rohirrim","Gandalf","The elves"
"The Lord of the Rings (P. J. movie adaptations)","3","What is the name of the great tower upon the spire of which burned the great Eye of Sauron?","Barad-dûr","Orthanc","Minas Morgul","Orodruin"
"The Lord of the Rings (P. J. movie adaptations)","3","Who speaks at the beginning of The Fellowship of the Ring (movie), narrating the tale of the One Ring?","Galadriel","Elrond","Gandalf","Sauron"
"The Lord of the Rings (P. J. movie adaptations)","4","Who does the witch king kill (Movies)?","Théoden","Éomer","Éowyn","Merry"
"The Lord of the Rings (P. J. movie adaptations)","4","Whom does Aragorn kill at the black gate (movies)?","The mouth of Sauron","The witch king","A troll","An orc king"
"The Lord of the Rings (P. J. movie adaptations)","4","Who crowns Aragorn (Movies)?","Gandalf","Frodo","Elrond","Galadriel"
"The Lord of the Rings (P. J. movie adaptations)","5","Who ignites the beacons of Gondor? (Movies)","Pippin","Merry","Gandalf","Denethor"
"The Lord of the Rings (P. J. movie adaptations)","5","Who is the leader of the elves in the battle for Helms Deep? (Movies)","Haldir","Legoals","Théoden","Celeborn"
"The Lord of the Rings (P. J. movie adaptations)","5","Who does not help at the battle for Minas Tirith (Movies)?","The elves","Rohan","The undead","Gandalf"
"The Lord of the Rings (P. J. movie adaptations)","5","What famous injury did Viggo Mortensen suffer in the making of The two Towers?","He broke his toe","He broke his right arm","He suffered a severe brain concussion","He stepped on a long, sharp glass shard"
"The Lord of the Rings (P. J. movie adaptations)","5","In the movie 'The Return of the King', what does Gimli say after Legolas kills the Mumakil?","That still only counts as one.","That was mine!","Of course you took the little one!","No fair!"
"The Lord of the Rings (P. J. movie adaptations)","5","Did Denethor die at the siege of Minas Tirith?","He took his own life","Yes he was killed in battle","No he didn't","He was injured"
"The Lord of the Rings (P. J. movie adaptations)","6","How many arrows hit Boromir at Parth Galen?","3","He is not hit","2","5"
"The Lord of the Rings (P. J. movie adaptations)","6","Where was the LotR movie adaption by Peter Jackson filmed?","New Zealand","Australia","Iceland","Canada"
"The Lord of the Rings (P. J. movie adaptations)","7","In which scene did Sean Astin (Sam's actor) impale his foot on a glass shard?","The scene at Parth Galen (The Rauros-falls)","The flight to Brandybuck ferry","At the Morannon (The black gate), when he tumbles down the hill","Running through Farmer Maggot's fields"
"The Lord of the Rings (P. J. movie adaptations)","7","Which one of these scenes **didn't** involve an accident while filming the movies?","The cloak of the Nazgul catching fire on Weathertop","Ian McKellen (Gandalf) running into a wooden beam in Bag End","Viggo Mortensen (Aragorn) deflecting a knife thrown by an Uruk at Parth Galen","Viggo Mortensen (Aragorn) kicking the helmet of a dead Uruk at Fangorn Forest"
"The Lord of the Rings (P. J. movie adaptations)","7","In the movie 'The Return of the King', Peter Jackson has another cameo. Who does he play?","The pirate that gets shot by Legolas","The chief of the Guards of the Citadel","An orc in Cirith Ungol who is stabbed by Sam","A Gondorean Warrior at the Battle of the Black Gate"
"The Lord of the Rings (P. J. movie adaptations)","7","Who was originally cast as Aragorn?","Stuart Townsend","Eric Bana","Tom Cruise","Johnny Depp"
"The Lord of the Rings (P. J. movie adaptations)","8","What was the troll that Aragorn fights at the Battle of the Black Gate originally going to be?","Sauron","The Witch-King of Angmar","Saruman","Morgoth"
"The Lord of the Rings (P. J. movie adaptations)","8","In which LotR movie did Howard Shore, the composer of the soundtracks, have a cameo?","The Return of the King","The Fellowship of the Ring","The Two Towers","None of them"
"The Lord of the Rings (P. J. movie adaptations)","8","The screech of the Nazgul in the Peter Jackson LOTR films was made by combining sounds from a pig, a horse, and who/what?","Fran Jackson, the director's wife. She had a sore throat at the time.","A musical saw","A siren","Screeching Tires"
"The Lord of the Rings (P. J. movie adaptations)","8","In the films, who does Legolas kill at Isengard?","Grima Wormtongue","Saruman","Pippin","Uglúk, the Orc that captured Merry & Pippin"
"The Lord of the Rings (P. J. movie adaptations)","9","What actor portrayed Bilbo Baggins in the LotR movie adaption, and aged Bilbo in the Hobbit adaption?","Sir Ian Holm","Sir Ian McKellen","Morgan Freeman","Dominic Monaghan"
"The Lord of the Rings (P. J. movie adaptations)","9","Which of these characters was **not** played by Sala Baker?","Gothmog, Lieutnant of Morgul","Sauron","The Witch-King of Angmar","Lugdush the Uruk"
"The Lord of the Rings (P. J. movie adaptations)","9","In the 2001 movie The Fellowship of the Ring, which sound was used as the sound of the Watcher in the Water?","A walrus bellowing","A lawnmower","A trumpeting elephant","A tuba"
"The Lord of the Rings (P. J. movie adaptations)","9","In the first chapter of the fellowship of the Ring, Ian McKellen (Gandalf) did something unintentionally that made it into the final cut. What was it?","He bumped his head on a ceiling beam at Bagend","He burned his fingertips while lifting up the Ring","He called Bilbo his old friend when standing at the doorstep","He hit Sam(Sean Astin) with his staff"
"The Lord of the Rings (P. J. movie adaptations)","9","Christopher Lee, a devout fan of J.R.R Tolkien, desperately wanted to play a very specific role in the movies. Who did he wish to play as?","Gandalf","Isildur","Elrond","Saruman"
"The Lord of the Rings (P. J. movie adaptations)","10","The voice of Treebeard was done by the actor playing what other role in the LotR / Hobbit films?","Gimli","Smaug","Radagast","Beorn"
"The Lord of the Rings (P. J. movie adaptations)","10","What does 'Men i ndagor, hyn u ortheri. Natha daged aen!' translate to?","They cannot win this fight. They are all going to die!","They're taking the hobbits to Isengard!","Stupid fat hobbit!","I'll have no pointy-ear outscoring me!"
"The Lord of the Rings (P. J. movie adaptations)","10","Who voices the mouth of Sauron?","Bruce Spence and Don Messick","Keanu Reeves and Christian Bale","George Clooney and Russel Crowe","Matt Damon and Viggo Mortensen"
"The Lord of the Rings (book)","1","Who is the ringbearer?","Frodo","Gandalf","Legolas","Aragorn"
"The Lord of the Rings (book)","1","Who is the queen of Lothloríen?","Galadriel","Gandalf","Saura","Luthien"
"The Lord of the Rings (book)","1","What is not typical for a hobbit?","Adventures","Beer","Food","Parties"
"The Lord of the Rings (book)","1","What name does the grey wizard have in the Shire?","Gandalf","Saruman","Radagast","Pallando"
"The Lord of the Rings (book)","1","Who or what is Rohan?","A kingdom","Hobbit food","A mountain","An old elf"
"The Lord of the Rings (book)","1","Who is the lord of Rivendell?","Elrond","Celeborn","Thranduil","Legolas"
"The Lord of the Rings (book)","1","Who is the captain of the Nazgûl?","The Witch-king of Angmar","Khamul","Saruman","Deagol"
"The Lord of the Rings (book)","1","Whats the name of the dwarf from the fellowship?","Gimli","Gloin","Ori","Thorin"
"The Lord of the Rings (book)","1","Whats the name of the elf from the fellowship?","Legolas","Thranduil","Haldir","Luthien"
"The Lord of the Rings (book)","1","Who gives Frodo the ring?","Bilbo","Sauron","Sam","Pippin"
"The Lord of the Rings (book)","1","Do hobbits wear shoes?","No","Yes","Only on mountains","Only at work"
"The Lord of the Rings (book)","1","Who isn't human?","Legolas","Aragorn","Boromir","Faramir"
"The Lord of the Rings (book)","1","What is Saurons ring called?","The one ring","Some ring","The ugly ring","His ringness"
"The Lord of the Rings (book)","1","What is Gimli?","A dwarf","A human","A wizard","An elf"
"The Lord of the Rings (book)","1","Gandalf the _____ ?","grey","blue","orc slayer","party wizard"
"The Lord of the Rings (book)","1","Who is the lord of Isengard?","Saruman","Lurz","Grond","Gwaihir"
"The Lord of the Rings (book)","1","Where do most hobbits live?","The Shire","Gondor","Ithilien","Rivendell"
"The Lord of the Rings (book)","1","Who is Frodo's gardener?","Sam","Gollum","Himself","Merry"
"The Lord of the Rings (book)","1","Whats Frodos destination?","Mount Doom","The lonely mountain","Cahadras","Mount Everest"
"The Lord of the Rings (book)","1","Who accompanies Frodo until the end?","Sam","Boromir","Legolas","Gandalf"
"The Lord of the Rings (book)","1","Who is a wizard?","Saruman","Legolas","Gimli","Denethor"
"The Lord of the Rings (book)","1","What name is Smeagol called?","Gollum","Gallum","Gillum","Göllum"
"The Lord of the Rings (book)","1","Who is not an elf?","Gimli","Legolas","Galadriel","Elrond"
"The Lord of the Rings (book)","1","Who is Strider?","Aragorn","Gimli","Elrond","Legolas"
"The Lord of the Rings (book)","1","What does Gandalf do frequently?","Smoke","Kill orcs","Search for rings","Read newspaper"
"The Lord of the Rings (book)","1","What is Moria?","A mine","A forest","A creek","A bridge"
"The Lord of the Rings (book)","1","Whats the symbol of Mordor?","A red eye","A dead pony","A wulf","A Nazgûl"
"The Lord of the Rings (book)","1","What is the Witch king?","A Nazgûl","A dwarf","An elf","An orc"
"The Lord of the Rings (book)","1","How many rings did the humans get?","9","4","11","0"
"The Lord of the Rings (book)","1","What hair color does Galadriel have?","Blonde","Grey","Black","Green"
"The Lord of the Rings (book)","1","What was Gollum's treasure?","The one ring","His love","Frodo","Himself"
"The Lord of the Rings (book)","1","Who is Isildur's heir?","Aragorn","Pippin","Sam","Sauron"
"The Lord of the Rings (book)","1","Where does Galadriel live?","Lothloríen","Captured in mordor","Moria","Mirkwood"
"The Lord of the Rings (book)","1","What kingdom has a red eye on its flag?","Mordor","Gondor","Rohan","Rivendell"
"The Lord of the Rings (book)","1","Who is often responsible for the fireworks in the Shire?","Gandalf","Frodo","Sam","Hobbit-Fireworks Inc"
"The Lord of the Rings (book)","1","Where does Gandalf want to meet Frodo?","Bree","Rivendell Bruchtal","Washington","Barad Dur"
"The Lord of the Rings (book)","1","In what do hobbits live?","In holes in the ground","In mines","In valleys","In tree houses"
"The Lord of the Rings (book)","1","Who lives the longest?","Elves","Dwarfs","Hobbits","Orcs"
"The Lord of the Rings (book)","1","What kind of people are the Uruk-Hai?","Orcs","Trolls","Wolves","Humans"
"The Lord of the Rings (book)","1","What mounts do the Rohirrim ride?","Horses","Wolves","Wargs","Slaves"
"The Lord of the Rings (book)","1","In what do hobbits find great pleasure?","Eating","Fighting","Hunting","Adventuring"
"The Lord of the Rings (book)","1","Did Gandalf return after his fight with the Balrog?","Yes, as the white wizard","Yes, as the blue wizard","He never returned","Yes, as a normal human"
"The Lord of the Rings (book)","1","What is the name of the landmass where the Fellowship lives?","Middle-earth","East-earth","Earth of the west","Medium Terra"
"The Lord of the Rings (book)","1","What does the fellowship find in Moria besides orcs?","A Balrog","Saruman","Dwarves","Elves"
"The Lord of the Rings (book)","1","Legolas and Galadriel are _____ ?","Elves","Humans","Wizards","Dunedaín"
"The Lord of the Rings (book)","1","Who had the one ring for a very long time after Isildur lost it?","Gollum","Legolas","Saruman","Pippin"
"The Lord of the Rings (book)","1","Which member of the fellowship died?","Boromir","Frodo","Pippin","Gimli"
"The Lord of the Rings (book)","1","Who follows Frodo and Sam almost their entire way?","Gollum","Gandalf","Bilbo","Elrond"
"The Lord of the Rings (book)","1","Who is the returning king?","Aragorn","Legolas","Gimli","Boromir"
"The Lord of the Rings (book)","1","What name was Aragorn travelling under?","Strider","Wilderer","Longshanks","The Crownless"
"The Lord of the Rings (book)","1","What is Boromir's brother named?","Faramir","Dagomir","Denethor","Éomer"
"The Lord of the Rings (book)","2","Who made the one ring?","Sauron","Saruman","Isildur","Gothmog"
"The Lord of the Rings (book)","2","How many rings did the elves get?","3","1","6","7"
"The Lord of the Rings (book)","2","Which Kingdom owns Minas Tirith?","Gondor","Rohan","Thal","Lothloríen"
"The Lord of the Rings (book)","2","What's Dale?","A city","A valley","A mountain","A dish"
